EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:05:41	4	0.0001	0.2619417859072756	0.24089917540550232	0.5745	0.5745	0.5745	0.5745
2	14:06:34	4	0.0000	0.20681954345951517	0.296430766582489	0.5096	0.5096	0.5096	0.5096
3	14:07:27	4	0.0000	0.11218673676724163	0.39664363861083984	0.5702	0.5702	0.5702	0.5702
4	14:08:21	4	0.0000	0.05128887746798918	0.5904138684272766	0.5819	0.5819	0.5819	0.5819
5	14:09:17	4	0.0000	0.024863585842662413	0.7090975046157837	0.567	0.567	0.567	0.567
6	14:10:11	4	0.0000	0.014158669290335976	0.8726459741592407	0.5681	0.5681	0.5681	0.5681
7	14:11:05	4	0.0000	0.007562458485358221	0.9577162861824036	0.5606	0.5606	0.5606	0.5606
8	14:11:58	4	0.0000	0.0076489381075982455	0.9488041996955872	0.5574	0.5574	0.5574	0.5574
9	14:12:51	4	0.0000	0.003596867940602266	1.0004475116729736	0.5691	0.5691	0.5691	0.5691
10	14:13:43	4	0.0000	0.002521112645314288	1.0381135940551758	0.5553	0.5553	0.5553	0.5553
